clip_id,track_number,title,artist,album,segmentStart,segmentEnd
2,1,bwv54iaria,americanbachsoloists,jsbachsolocantatas,30,59
6,1,bwv54iaria,americanbachsoloists,jsbachsolocantatas,146,175
10,1,bwv54iaria,americanbachsoloists,jsbachsolocantatas,262,291
11,1,bwv54iaria,americanbachsoloists,jsbachsolocantatas,291,320
12,1,bwv54iaria,americanbachsoloists,jsbachsolocantatas,320,349
14,1,contimune,lvxnova,lvxnova,30,59
19,1,contimune,lvxnova,lvxnova,175,204
21,1,contimune,lvxnova,lvxnova,233,262
23,1,contimune,lvxnova,lvxnova,291,320
25,1,gleichwiederregenundschneevomhimmelfalltbwv18isinfonia,americanbachsoloists,jsbachcantatasvolumev,0,29
29,1,gleichwiederregenundschneevomhimmelfalltbwv18isinfonia,americanbachsoloists,jsbachcantatasvolumev,117,146
32,1,lesson1ingmajorpreludejamesnares,stevendevine,portraitofanenglishharpsichord,0,29
33,1,lesson1ingmajorpreludejamesnares,stevendevine,portraitofanenglishharpsichord,30,59
35,1,lindamorena,theheadroomproject,jetutonandawai,0,29
37,1,lindamorena,theheadroomproject,jetutonandawai,59,88
38,1,lindamorena,theheadroomproject,jetutonandawai,88,117
39,1,musicalischeexequienswv279teiliconcertinformeinerteutschenbegrabnismissa,americanbachsoloists,heinrichschutzmusicalischeexequien,0,29
40,1,musicalischeexequienswv279teiliconcertinformeinerteutschenbegrabnismissa,americanbachsoloists,heinrichschutzmusicalischeexequien,30,59
44,1,musicalischeexequienswv279teiliconcertinformeinerteutschenbegrabnismissa,americanbachsoloists,heinrichschutzmusicalischeexequien,146,175
48,1,musicalischeexequienswv279teiliconcertinformeinerteutschenbegrabnismissa,americanbachsoloists,heinrichschutzmusicalischeexequien,262,291
49,1,musicalischeexequienswv279teiliconcertinformeinerteutschenbegrabnismissa,americanbachsoloists,heinrichschutzmusicalischeexequien,291,320
50,1,musicalischeexequienswv279teiliconcertinformeinerteutschenbegrabnismissa,americanbachsoloists,heinrichschutzmusicalischeexequien,320,349
51,1,musicalischeexequienswv279teiliconcertinformeinerteutschenbegrabnismissa,americanbachsoloists,heinrichschutzmusicalischeexequien,349,378
53,1,musicalischeexequienswv279teiliconcertinformeinerteutschenbegrabnismissa,americanbachsoloists,heinrichschutzmusicalischeexequien,407,436
56,1,musicalischeexequienswv279teiliconcertinformeinerteutschenbegrabnismissa,americanbachsoloists,heinrichschutzmusicalischeexequien,494,523
59,1,musicalischeexequienswv279teiliconcertinformeinerteutschenbegrabnismissa,americanbachsoloists,heinrichschutzmusicalischeexequien,581,610
61,1,musicalischeexequienswv279teiliconcertinformeinerteutschenbegrabnismissa,americanbachsoloists,heinrichschutzmusicalischeexequien,639,668
63,1,musicalischeexequienswv279teiliconcertinformeinerteutschenbegrabnismissa,americanbachsoloists,heinrichschutzmusicalischeexequien,697,726
64,1,musicalischeexequienswv279teiliconcertinformeinerteutschenbegrabnismissa,americanbachsoloists,heinrichschutzmusicalischeexequien,726,755
66,1,musicalischeexequienswv279teiliconcertinformeinerteutschenbegrabnismissa,americanbachsoloists,heinrichschutzmusicalischeexequien,784,813
67,1,musicalischeexequienswv279teiliconcertinformeinerteutschenbegrabnismissa,americanbachsoloists,heinrichschutzmusicalischeexequien,813,842
71,1,musicalischeexequienswv279teiliconcertinformeinerteutschenbegrabnismissa,americanbachsoloists,heinrichschutzmusicalischeexequien,929,958
73,1,musicalischeexequienswv279teiliconcertinformeinerteutschenbegrabnismissa,americanbachsoloists,heinrichschutzmusicalischeexequien,987,1016
74,1,musicalischeexequienswv279teiliconcertinformeinerteutschenbegrabnismissa,americanbachsoloists,heinrichschutzmusicalischeexequien,1016,1045
76,1,musicalischeexequienswv279teiliconcertinformeinerteutschenbegrabnismissa,americanbachsoloists,heinrichschutzmusicalischeexequien,1074,1103
78,1,musicalischeexequienswv279teiliconcertinformeinerteutschenbegrabnismissa,americanbachsoloists,heinrichschutzmusicalischeexequien,1132,1161
79,1,musicalischeexequienswv279teiliconcertinformeinerteutschenbegrabnismissa,americanbachsoloists,heinrichschutzmusicalischeexequien,1161,1190
80,1,musicalischeexequienswv279teiliconcertinformeinerteutschenbegrabnismissa,americanbachsoloists,heinrichschutzmusicalischeexequien,1190,1219
81,1,musicalischeexequienswv279teiliconcertinformeinerteutschenbegrabnismissa,americanbachsoloists,heinrichschutzmusicalischeexequien,1219,1248
82,1,musicalischeexequienswv279teiliconcertinformeinerteutschenbegrabnismissa,americanbachsoloists,heinrichschutzmusicalischeexequien,1248,1277
83,1,musicalischeexequienswv279teiliconcertinformeinerteutschenbegrabnismissa,americanbachsoloists,heinrichschutzmusicalischeexequien,1277,1306
